"","generic","english","brandname","class_indication","searchterm"
"83","belimumabi","belimumab","Benlysta|Benlysta|Benlysta|Benlysta|Benlysta|Benlysta|Benlysta|Benlysta",NA,"belimumabi|belimumab|benlysta|benlysta|benlysta|benlysta|benlysta|benlysta|benlysta|benlysta"
"84","eprosartaani","eprosartan","Teveten|Teveten","Angiotensin II receptor blockers","eprosartaani|eprosartan|teveten|teveten"
"85","bendamustiini","bendamustin","Bendamustine Accord|Bendamustine Avansor|Bendamustine Avansor|Bendamustine Medac|Bendamyl|Levact|Bendamustine Accord|Bendamustine Avansor|Bendamustine Medac",NA,"bendamustiini|bendamustin|bendamustine accord|bendamustine avansor|bendamustine avansor|bendamustine medac|bendamyl|levact|bendamustine accord|bendamustine avansor|bendamustine medac"
"86","benralitsumabi","benralizumab","Fasenra",NA,"benralitsumabi|benralizumab|fasenra"
"87",NA,"eprosartan","teveten","Angiotensin II receptor blockers","eprosartan|teveten"
"88","bentsoyyliperoksidi","benzoyl peroxide","Basiron Ac|Basiron Ac",NA,"bentsoyyliperoksidi|benzoyl peroxide|basiron ac|basiron ac"
"89",NA,"Irbesartan","Avapro","Angiotensin II receptor blockers","irbesartan|avapro"
"90","bentsydamiini","benzydamin","Zyx Eukalyptus|Zyx Sitruuna|Zyx Minttu|Zysils Appelsiini-Hunaja|Zysils Sitruuna",NA,"bentsydamiini|benzydamin|zyx eukalyptus|zyx sitruuna|zyx minttu|zysils appelsiini-hunaja|zysils sitruuna"
"91","losartaani","losartan","Cozaar|Cozaar|Losatrix|Losarstad|Losarstad|Losartan Orion|Losartan Orion|Losartan Krka|Losartan Krka|Losatrix|Losartan Medical Valley|Losartan Medical Valley|Losatrix|Losarstad|Losarstad|Losartan Medical Valley|Losartan Orion|Losartan Orion|Losartan Krka|Cozaar|Losartan Krka|Losatrix|Losatrix|Losatrix|Losartan Medical Valley|Losarstad|Losarstad|Losatrix|Losartan Orion|Losartan Orion|Losatrix|Losartan Krka|Losartan Krka|Losartan Krka|Cozaar|Cozaar|Losartan Medical Valley|Losartan Medical Valley|Losatrix|Losartan Medical Valley|Losatrix|Losanova|Losatrix","Angiotensin II receptor blockers","losartaani|losartan|cozaar|cozaar|losatrix|losarstad|losarstad|losartan orion|losartan orion|losartan krka|losartan krka|losatrix|losartan medical valley|losartan medical valley|losatrix|losarstad|losarstad|losartan medical valley|losartan orion|losartan orion|losartan krka|cozaar|losartan krka|losatrix|losatrix|losatrix|losartan medical valley|losarstad|losarstad|losatrix|losartan orion|losartan orion|losatrix|losartan krka|losartan krka|losartan krka|cozaar|cozaar|losartan medical valley|losartan medical valley|losatrix|losartan medical valley|losatrix|losanova|losatrix"
"92","betahistiini","betahistine","Betaserc|Betahistine Stada|Betahistin Orifarm Generics|Betahistin Ratiopharm|Betaserc|Betahistine Stada|Betahistin Ratiopharm|Betahistin Orifarm Generics|Betaserc|Betahistin Orifarm Generics|Betahistine Accord|Betahistine Stada",NA,"betahistiini|betahistine|betaserc|betahistine stada|betahistin orifarm generics|betahistin ratiopharm|betaserc|betahistine stada|betahistin ratiopharm|betahistin orifarm generics|betaserc|betahistin orifarm generics|betahistine accord|betahistine stada"
"93",NA,"Losartan","Cozaar|losatrix","Angiotensin II receptor blockers","losartan|cozaar|losatrix"
"94","beetametasoni ja antibiootit","betamethasone and antibiotics","Fucicort|Fucicort|Fucicort|Fucicort",NA,"beetametasoni ja antibiootit|betamethasone and antibiotics|fucicort|fucicort|fucicort|fucicort"
"95","losartaani ja diureetit","losartan and diuretics","Losarstad Comp|Losarstad Comp|Losartan/Hydrochlorothiazide Orion|Losartan/Hydrochlorothiazide Orion|Losartan/Hydrochlorothiazide Krka|Losartan/Hydrochlorothiazide Krka|Cozaar Comp|Cozaar Comp|Losatrix Comp|Losatrix Comp|Losatrix Comp|Cozaar Comp Forte|Cozaar Comp Forte|Losarstad Comp|Losarstad Comp|Losartan/Hydrochlorothiazide Orion|Losartan/Hydrochlorothiazide Orion|Losartan/Hydrochlorothiazide Krka|Losartan/Hydrochlorothiazide Krka|Losatrix Comp|Losatrix Comp|Losatrix Comp|Losartan/Hydrochlorothiazide Sandoz|Cozaar Comp|Cozaar Comp|Losarstad Comp|Losarstad Comp|Losarstad Comp|Losartan/Hydrochlorothiazide Krka|Losatrix Comp|Losatrix Comp|Losartan/Hydrochlorothiazide Krka","Angiotensin II receptor blockers","losartaani ja diureetit|losartan and diuretics|losarstad comp|losarstad comp|losartan/hydrochlorothiazide orion|losartan/hydrochlorothiazide orion|losartan/hydrochlorothiazide krka|losartan/hydrochlorothiazide krka|cozaar comp|cozaar comp|losatrix comp|losatrix comp|losatrix comp|cozaar comp forte|cozaar comp forte|losarstad comp|losarstad comp|losartan/hydrochlorothiazide orion|losartan/hydrochlorothiazide orion|losartan/hydrochlorothiazide krka|losartan/hydrochlorothiazide krka|losatrix comp|losatrix comp|losatrix comp|losartan/hydrochlorothiazide sandoz|cozaar comp|cozaar comp|losarstad comp|losarstad comp|losarstad comp|losartan/hydrochlorothiazide krka|losatrix comp|losatrix comp|losartan/hydrochlorothiazide krka"
"96","bevasitsumabi","bevacizumab","Avastin|Avastin|Mvasi|Mvasi",NA,"bevasitsumabi|bevacizumab|avastin|avastin|mvasi|mvasi"
"97","beksaroteeni","bexaroten","Targretin|Targretin|Targretin|Targretin",NA,"beksaroteeni|bexaroten|targretin|targretin|targretin|targretin"
"98",NA,"Olmesartan","Benicar|olmetec","Angiotensin II receptor blockers","olmesartan|benicar|olmetec"
"99","bikalutamidi","Bicalutamide","Bicavan|Casodex|Bicalutamid Orion|Bicalutamid Orion|Bicavan|Bicalutamid Orion|Bicalutamid Orion|Casodex|Bicalutamide Accord|Bicalutamide Accord",NA,"bikalutamidi|bicalutamide|bicavan|casodex|bicalutamid orion|bicalutamid orion|bicavan|bicalutamid orion|bicalutamid orion|casodex|bicalutamide accord|bicalutamide accord"
"100","bimatoprosti","bimatoprost","Lumigan|Lumigan|Bimatoprost Stada|Bimatoprost Stada|Bimatoprost Sandoz|Bimatoprost Sandoz",NA,"bimatoprosti|bimatoprost|lumigan|lumigan|bimatoprost stada|bimatoprost stada|bimatoprost sandoz|bimatoprost sandoz"
"101","olmesartaanimedoksomiili","olmesartan medoxomil","Olmetec|Olmetec|Olmesartan Medoxomil Stada|Olmesartan Medoxomil Sandoz|Olmesartan medoxomil Krka|Olmesartan Medoxomil Stada|Olmesartan medoxomil Krka|Olmesartan Medoxomil Sandoz|Olmesartan Medoxomil Accord|Olmesartan Medoxomil Accord|Olmetec|Olmetec|Olmesartan Medoxomil Accord|Olmesartan Medoxomil Accord|Olmesartan Medoxomil Stada|Olmesartan Medoxomil Stada|Olmesartan medoxomil Krka|Olmesartan Medoxomil Sandoz|Olmesartan medoxomil Krka|Olmesartan Medoxomil Sandoz|Olmetec|Olmetec|Olmesartan medoxomil Krka|Olmesartan Medoxomil Accord|Olmesartan Medoxomil Accord|Olmesartan Medoxomil Stada|Olmesartan Medoxomil Sandoz|Olmesartan medoxomil Krka|Olmesartan Medoxomil Stada","Angiotensin II receptor blockers","olmesartaanimedoksomiili|olmesartan medoxomil|olmetec|olmetec|olmesartan medoxomil stada|olmesartan medoxomil sandoz|olmesartan medoxomil krka|olmesartan medoxomil stada|olmesartan medoxomil krka|olmesartan medoxomil sandoz|olmesartan medoxomil accord|olmesartan medoxomil accord|olmetec|olmetec|olmesartan medoxomil accord|olmesartan medoxomil accord|olmesartan medoxomil stada|olmesartan medoxomil stada|olmesartan medoxomil krka|olmesartan medoxomil sandoz|olmesartan medoxomil krka|olmesartan medoxomil sandoz|olmetec|olmetec|olmesartan medoxomil krka|olmesartan medoxomil accord|olmesartan medoxomil accord|olmesartan medoxomil stada|olmesartan medoxomil sandoz|olmesartan medoxomil krka|olmesartan medoxomil stada"
"102","olmesartaanimedoksomiili ja amlodipiini","olmesartan medoxomil and amlodipine","Olmesartan Medoxomil/Amlodipine Krka|Olmesartan Medoxomil/Amlodipine Accord|Sevikar|Sevikar|Olmesartan Medoxomil/Amlodipine Accord|Olmesartan Medoxomil/Amlodipine Krka|Sevikar|Sevikar|Olmesartan Medoxomil/Amlodipine Accord|Olmesartan Medoxomil/Amlodipine Krka|Olmesartan Medoxomil/Amlodipine Accord|Olmesartan Medoxomil/Amlodipine Krka|Olmesartan Medoxomil/Amlodipine Krka|Sevikar|Sevikar|Olmesartan Medoxomil/Amlodipine Accord|Olmesartan Medoxomil/Amlodipine Krka|Olmesartan Medoxomil/Amlodipine Accord","Angiotensin II receptor blockers","olmesartaanimedoksomiili ja amlodipiini|olmesartan medoxomil and amlodipine|olmesartan medoxomil/amlodipine krka|olmesartan medoxomil/amlodipine accord|sevikar|sevikar|olmesartan medoxomil/amlodipine accord|olmesartan medoxomil/amlodipine krka|sevikar|sevikar|olmesartan medoxomil/amlodipine accord|olmesartan medoxomil/amlodipine krka|olmesartan medoxomil/amlodipine accord|olmesartan medoxomil/amlodipine krka|olmesartan medoxomil/amlodipine krka|sevikar|sevikar|olmesartan medoxomil/amlodipine accord|olmesartan medoxomil/amlodipine krka|olmesartan medoxomil/amlodipine accord"
"103","olmesartaanimedoksomiili ja diureetit","olmesartan medoxomil and diuretics","Olmetec Plus|Olmetec Plus|Olmestad Comp|Olmestad Comp|Olmesartan Medoxomil/Hydrochlorothiazide Accord|Olmesartan medoxomil/Hydrochlorothiazide Krka|Olmesartan medoxomil/Hydrochlorothiazide Krka|Olmesartan Medoxomil/Hydrochlorothiazide Accord|Olmetec Plus|Olmetec Plus|Olmesartan medoxomil/Hydrochlorothiazide Krka|Olmestad Comp|Olmesartan Medoxomil/Hydrochlorothiazide Accord|Olmesartan medoxomil/Hydrochlorothiazide Krka|Olmesartan Medoxomil/Hydrochlorothiazide Accord|Olmestad Comp","Angiotensin II receptor blockers","olmesartaanimedoksomiili ja diureetit|olmesartan medoxomil and diuretics|olmetec plus|olmetec plus|olmestad comp|olmestad comp|olmesartan medoxomil/hydrochlorothiazide accord|olmesartan medoxomil/hydrochlorothiazide krka|olmesartan medoxomil/hydrochlorothiazide krka|olmesartan medoxomil/hydrochlorothiazide accord|olmetec plus|olmetec plus|olmesartan medoxomil/hydrochlorothiazide krka|olmestad comp|olmesartan medoxomil/hydrochlorothiazide accord|olmesartan medoxomil/hydrochlorothiazide krka|olmesartan medoxomil/hydrochlorothiazide accord|olmestad comp"
"104","telmisartaani","telmisartan","Telmisartan Stada|Telmisartan Ratiopharm|Telmisartan Stada|Micardis|Micardis|Tolura|Telmisartan Sandoz|Tolura|Tolura|Telmisartan Ratiopharm|Telmisartan Orion|Telmisartan Stada|Tolura|Telmisartan Orion|Telmisartan Stada|Micardis|Micardis|Telmisartan Stada|Tolura|Tolura|Telmisartan Ratiopharm|Telmisartan Ratiopharm","Angiotensin II receptor blockers","telmisartaani|telmisartan|telmisartan stada|telmisartan ratiopharm|telmisartan stada|micardis|micardis|tolura|telmisartan sandoz|tolura|tolura|telmisartan ratiopharm|telmisartan orion|telmisartan stada|tolura|telmisartan orion|telmisartan stada|micardis|micardis|telmisartan stada|tolura|tolura|telmisartan ratiopharm|telmisartan ratiopharm"
"105","bivalirudiini","bivalirudin","Bivalirudin Reig Jofre",NA,"bivalirudiini|bivalirudin|bivalirudin reig jofre"
"106",NA,"telmisartan","micardis","Angiotensin II receptor blockers","telmisartan|micardis"
"107","blinatumomabi","blinatumomab","Blincyto|Blincyto|Blincyto|Blincyto",NA,"blinatumomabi|blinatumomab|blincyto|blincyto|blincyto|blincyto"
"108","bortetsomibi","bortezomib","Velcade|Velcade",NA,"bortetsomibi|bortezomib|velcade|velcade"
"109","bosentaani","bosentan","Tracleer|Bosentan Orion|Stayveer|Bosentan Accord|Tracleer|Bosentan Accord|Bosentan Accord|Stayveer|Stayveer|Stayveer|Bosentan Actavis|Bosentan Orion|Bosentan Actavis|Tracleer",NA,"bosentaani|bosentan|tracleer|bosentan orion|stayveer|bosentan accord|tracleer|bosentan accord|bosentan accord|stayveer|stayveer|stayveer|bosentan actavis|bosentan orion|bosentan actavis|tracleer"
"110","bosutinibi","bosutinib","Bosulif|Bosulif|Bosulif",NA,"bosutinibi|bosutinib|bosulif|bosulif|bosulif"
"111","botuliinitoksiini","botulinum toxin","Botox|Botox|Botox|Azzalure|Azzalure|Azzalure|Azzalure|Azzalure",NA,"botuliinitoksiini|botulinum toxin|botox|botox|botox|azzalure|azzalure|azzalure|azzalure|azzalure"
"112","brentuksimabivedotiini","brentuximab vedotin","ADCETRIS|Adcetris|Adcetris",NA,"brentuksimabivedotiini|brentuximab vedotin|adcetris|adcetris|adcetris"
"113","brekspipratsoli","brexpiprazol","Rxulti|Rxulti|Rxulti",NA,"brekspipratsoli|brexpiprazol|rxulti|rxulti|rxulti"
"114","brintsolamidi","brinzolamide","Brinzolamide Sandoz|Brinzolamide Accord|Azopt",NA,"brintsolamidi|brinzolamide|brinzolamide sandoz|brinzolamide accord|azopt"
"115","brivarasetaami","brivaracetam","Briviact|Briviact|Briviact|Briviact|Briviact|Briviact|Briviact|Briviact|Briviact|Briviact|Briviact|Briviact|Briviact|Briviact|Briviact|Briviact",NA,"brivarasetaami|brivaracetam|briviact|briviact|briviact|briviact|briviact|briviact|briviact|briviact|briviact|briviact|briviact|briviact|briviact|briviact|briviact|briviact"
"116","bromiheksiini","bromohexin","Bisolvon|Mucovin|Mucovin|Medipekt|Bisolvon|Medipekt|Bisolvon Strong|Medipekt",NA,"bromiheksiini|bromohexin|bisolvon|mucovin|mucovin|medipekt|bisolvon|medipekt|bisolvon strong|medipekt"
"117","telmisartaani ja diureetit","telmisartan and diuretics","Micardisplus|Micardisplus|Telmisartan/Hydrochlorothiazide Accord|Tolucombi|Tolucombi|Tolucombi|Telmisartan/Hydrochlorothiazide Orion|Telmisartan/Hydrochlorothiazide Accord|Lesamor|Micardisplus|Micardisplus|Telmisartan/Hydrochlorothiazide Orion|Telmisartan/Hydrochlorothiazide Accord|Tolucombi|Telmisartan/Hydrochlorothiazide Accord|Tolucombi|Micardisplus|Micardisplus|Telmisartan/Hydrochlorothiazide Accord|Telmisartan/Hydrochlorothiazide Orion|Tolucombi|Telmisartan/Hydrochlorothiazide Accord|Tolucombi","Angiotensin II receptor blockers","telmisartaani ja diureetit|telmisartan and diuretics|micardisplus|micardisplus|telmisartan/hydrochlorothiazide accord|tolucombi|tolucombi|tolucombi|telmisartan/hydrochlorothiazide orion|telmisartan/hydrochlorothiazide accord|lesamor|micardisplus|micardisplus|telmisartan/hydrochlorothiazide orion|telmisartan/hydrochlorothiazide accord|tolucombi|telmisartan/hydrochlorothiazide accord|tolucombi|micardisplus|micardisplus|telmisartan/hydrochlorothiazide accord|telmisartan/hydrochlorothiazide orion|tolucombi|telmisartan/hydrochlorothiazide accord|tolucombi"
"118","valsartaani","valsartan","Diovan|Valsartan Krka|Valsartan Actavis|Valsartan Krka|Valsartan Actavis|Diovan|Diovan|Valsartan Krka|Valsartan Krka|Valsartan Actavis|Valsartan Actavis|Valsartan Sandoz|Valsarstad|Valsarstad|Diovan|Diovan|Valsarstad|Valsarstad|Valsartan Krka|Valsartan Krka|Valsartan Actavis|Valsartan Actavis|Valsartan Sandoz|Diovan|Valsarstad|Valsartan Krka|Valsartan Actavis|Valsartan Krka|Valsarstad","Angiotensin II receptor blockers","valsartaani|valsartan|diovan|valsartan krka|valsartan actavis|valsartan krka|valsartan actavis|diovan|diovan|valsartan krka|valsartan krka|valsartan actavis|valsartan actavis|valsartan sandoz|valsarstad|valsarstad|diovan|diovan|valsarstad|valsarstad|valsartan krka|valsartan krka|valsartan actavis|valsartan actavis|valsartan sandoz|diovan|valsarstad|valsartan krka|valsartan actavis|valsartan krka|valsarstad"
"119","bupivakaiini","bupivacain","Bicain Spinal|Bupivacaine Accord|Bicain Pond Spinal|Pankaine Spinal Tung",NA,"bupivakaiini|bupivacain|bicain spinal|bupivacaine accord|bicain pond spinal|pankaine spinal tung"
"120","buprenorfiini","buprenorphin","Buprenorphine Sandoz|Norspan|Buprefarm|Buprenorphine Ratiopharm|Buprenorphine Glenmark|Buprenorphine Stada|Norspan|Buprenorphine Stada|Buprenorphine Glenmark|Buprenorphine Ratiopharm|Buprenorphine Sandoz|Bupremyl|Bupremyl|Buprenorphine Stada|Norspan|Buprenorphine Ratiopharm|Norspan|Buprenorphine Glenmark|Buprenorphine Sandoz|Bupremyl|Buprenorphine Sandoz|Buprenorphine Ratiopharm|Buprenorphine Glenmark|Bupremyl|Buprenorphine Stada|Buprefarm|Buprenorphine Sandoz|Buprenorphine Sandoz|Buprenorphine Sandoz|Buprenorphine Ratiopharm|Norspan|Norspan|Buprefarm|Buprenorphine Sandoz|Buprenorphine Stada|Buprenorphine Glenmark|Bupremyl|Buprenorphine Glenmark|Bupremyl|Buprenorphine Stada|Buprenorphine Ratiopharm|Norspan|Norspan",NA,"buprenorfiini|buprenorphin|buprenorphine sandoz|norspan|buprefarm|buprenorphine ratiopharm|buprenorphine glenmark|buprenorphine stada|norspan|buprenorphine stada|buprenorphine glenmark|buprenorphine ratiopharm|buprenorphine sandoz|bupremyl|bupremyl|buprenorphine stada|norspan|buprenorphine ratiopharm|norspan|buprenorphine glenmark|buprenorphine sandoz|bupremyl|buprenorphine sandoz|buprenorphine ratiopharm|buprenorphine glenmark|bupremyl|buprenorphine stada|buprefarm|buprenorphine sandoz|buprenorphine sandoz|buprenorphine sandoz|buprenorphine ratiopharm|norspan|norspan|buprefarm|buprenorphine sandoz|buprenorphine stada|buprenorphine glenmark|bupremyl|buprenorphine glenmark|bupremyl|buprenorphine stada|buprenorphine ratiopharm|norspan|norspan"
"121",NA,"Buprenorphin","Suboxone",NA,"buprenorphin|suboxone"
"122","buprenorfiini, yhdistelmävalmisteet","buprenorphine, combination products","Buprenorphine/Naloxone Mylan|Bunalict|Buprenorphine/Naloxone G.L. Pharma|Suboxone|Bunalict|Suboxone|Buprenorphine/Naloxone Mylan|Buprenorphine/Naloxone G.L. Pharma",NA,"buprenorfiini, yhdistelmävalmisteet|buprenorphine, combination products|buprenorphine/naloxone mylan|bunalict|buprenorphine/naloxone g.l. pharma|suboxone|bunalict|suboxone|buprenorphine/naloxone mylan|buprenorphine/naloxone g.l. pharma"
"123",NA,"Valsartan","Diovan","Angiotensin II receptor blockers","valsartan|diovan"
"124","bupropioni ja naltreksoni","bupropion and naltrexone","Mysimba|Mysimba|Mysimba",NA,"bupropioni ja naltreksoni|bupropion and naltrexone|mysimba|mysimba|mysimba"
"125","bupropioni","bupropioni","Bupropion Sandoz|Bupropion Sandoz|Bupropion Orion|Voxra|Voxra|Bupropion Orion|Voxra|Voxra",NA,"bupropioni|bupropioni|bupropion sandoz|bupropion sandoz|bupropion orion|voxra|voxra|bupropion orion|voxra|voxra"
"126","buspironi","buspiron","Anksilon|Buspiron Ratiopharm|Anksilon|Buspiron Ratiopharm",NA,"buspironi|buspiron|anksilon|buspiron ratiopharm|anksilon|buspiron ratiopharm"
"127","valsartaani ja amlodipiini","valsartan and amlodipine","Amlodipine/Valsartan Mylan|Exforge|Exforge|Amlodipin/Valsartan Orion|Amlodipin/Valsartan Krka|Amlodipin/Valsartan Orion|Amlodipin/Valsartan Stada|Amlodipin/Valsartan Krka|Amlodipin/Valsartan Stada|Amlodipine/Valsartan Mylan|Amlodipin/Valsartan Stada|Exforge|Exforge|Amlodipine/Valsartan Mylan|Amlodipin/Valsartan Krka|Amlodipin/Valsartan Orion|Amlodipine/Valsartan Mylan|Amlodipin/Valsartan Orion|Amlodipin/Valsartan Stada|Amlodipin/Valsartan Krka|Exforge|Exforge|Exforge|Amlodipin/Valsartan Stada|Amlodipin/Valsartan Stada|Amlodipin/Valsartan Orion|Amlodipin/Valsartan Krka|Amlodipin/Valsartan Orion|Amlodipine/Valsartan Mylan|Amlodipine/Valsartan Mylan|Amlodipin/Valsartan Krka","Angiotensin II receptor blockers","valsartaani ja amlodipiini|valsartan and amlodipine|amlodipine/valsartan mylan|exforge|exforge|amlodipin/valsartan orion|amlodipin/valsartan krka|amlodipin/valsartan orion|amlodipin/valsartan stada|amlodipin/valsartan krka|amlodipin/valsartan stada|amlodipine/valsartan mylan|amlodipin/valsartan stada|exforge|exforge|amlodipine/valsartan mylan|amlodipin/valsartan krka|amlodipin/valsartan orion|amlodipine/valsartan mylan|amlodipin/valsartan orion|amlodipin/valsartan stada|amlodipin/valsartan krka|exforge|exforge|exforge|amlodipin/valsartan stada|amlodipin/valsartan stada|amlodipin/valsartan orion|amlodipin/valsartan krka|amlodipin/valsartan orion|amlodipine/valsartan mylan|amlodipine/valsartan mylan|amlodipin/valsartan krka"
"128","busulfaani","busulfan","Busilvex|Busulfan Fresenius Kabi",NA,"busulfaani|busulfan|busilvex|busulfan fresenius kabi"
"129","butyyliskopolamiini","butylscopolamin","Buscopan|Buscopan",NA,"butyyliskopolamiini|butylscopolamin|buscopan|buscopan"
